,Date,Specimen received date,Gauteng,Western Cape,DGauteng,DWestern Cape,LDLGauteng,LDLWestern Cape,LDLGautengNov12,GautengNov12,LDLGauteng-(Fil)Slope,GautengNov2,DLGautengNov2,LDLGautengNov2,LDGauteng,WCapenov19,LDLWCapeNov19
"444-1",2021-05-27,"27/05/2021 22:00",454552,293295,2336,400,-5.2682971713112483,-6.5967873652108837,#N/A,-473387,0.044868146700389792,-472338,#N/A,#N/A,7.7561953439481179,-224072,#N/A
"445-1",2021-05-28,"28/05/2021 22:00",456813,293679,2261,384,-5.3059870501617254,-6.6389459290053727,#N/A,-471126,0.045326462620556264,-470077,#N/A,#N/A,7.7235624722779699,-223688,#N/A
"446-1",2021-05-29,"29/05/2021 22:00",458174,293854,1361,175,-5.8175422157887215,-7.4257545095821937,#N/A,-469765,0.0432708732672904,-468716,#N/A,#N/A,7.215975002651466,-223513,#N/A
"447-1",2021-05-30,"30/05/2021 22:00",459144,293927,970,73,-6.1587658493346646,-8.3005030816724474,#N/A,-468795,0.033982434651423588,-467746,#N/A,#N/A,6.8772960714974287,-223440,#N/A
"448-1",2021-05-31,"31/05/2021 22:00",462082,294485,2938,558,-5.0548257428848125,-6.2676762190825599,#N/A,-465857,0.041608549651998748,-464808,#N/A,#N/A,7.9854843567338225,-222882,#N/A
"449-1",2021-06-01,"01/06/2021 22:00",464956,294955,2874,470,-5.0831393852049223,-6.4410481254131717,#N/A,-462983,0.038734334117219993,-461934,#N/A,#N/A,7.9634600666389703,-222412,#N/A
"450-1",2021-06-02,"02/06/2021 22:00",467864,295426,2908,471,-5.077596276490393,-6.4405178834464145,#N/A,-460075,0.038067604395263091,-459026,#N/A,#N/A,7.97522083865341,-221941,#N/A
"451-1",2021-06-03,"03/06/2021 22:00",471089,295850,3225,424,-4.9806813615450727,-6.5471573852521399,#N/A,-456850,0.041451676779249984,-455801,#N/A,#N/A,8.0786882292298721,-221517,#N/A
"452-1",2021-06-04,"04/06/2021 22:00",474353,296381,3264,531,-4.9755479524148862,-6.323742570688208,#N/A,-453586,0.044260004610195934,-452537,#N/A,#N/A,8.0907087160839968,-220986,#N/A
"453-1",2021-06-05,"05/06/2021 22:00",476476,296651,2123,270,-5.4113552105861737,-7.0014344307702752,#N/A,-451463,0.049456007633060836,-450414,#N/A,#N/A,7.6605854617032563,-220716,#N/A
"454-1",2021-06-06,"06/06/2021 22:00",477823,296815,1347,164,-5.8699492974275032,-7.5007215702725221,#N/A,-450116,0.038430330653179787,-449067,#N/A,#N/A,7.2056351764103637,-220552,#N/A
"455-1",2021-06-07,"07/06/2021 22:00",482854,297680,5031,865,-4.5588631502563786,-5.8395901914651791,#N/A,-445085,0.056257019169021233,-444036,#N/A,#N/A,8.5233740504913182,-219687,#N/A
"456-1",2021-06-08,"08/06/2021 22:00",488881,298608,6027,928,-4.3896737553937921,-5.7722993301119692,#N/A,-439058,0.071048409545187513,-438009,#N/A,#N/A,8.7040046534830449,-218759,#N/A
"457-1",2021-06-09,"09/06/2021 22:00",494069,299422,5188,814,-4.5510535213023156,-5.9062880347719497,#N/A,-433870,0.073881551260876824,-432821,#N/A,#N/A,8.5541035454363339,-217945,#N/A
"458-1",2021-06-10,"10/06/2021 22:00",500103,300271,6034,849,-4.4113406293303168,-5.8669661016219345,#N/A,-427836,0.080186732772503502,-426787,#N/A,#N/A,8.7051654197190071,-217096,#N/A
"459-1",2021-06-11,"11/06/2021 22:00",506357,301136,6254,865,-4.3878131921209524,-5.8511498119207106,#N/A,-421582,0.080276836694546799,-420533,#N/A,#N/A,8.7409765380177866,-216231,#N/A
"460-1",2021-06-12,"12/06/2021 22:00",510584,301688,4227,552,-4.789908919350486,-6.3026850528088874,#N/A,-417355,0.084704834786217847,-416306,#N/A,#N/A,8.3492478005667898,-215679,#N/A
"461-1",2021-06-13,"13/06/2021 22:00",513327,301875,2743,187,-5.2291831029901727,-7.3863498757123836,#N/A,-414612,0.075700311125726644,-413563,#N/A,#N/A,7.9168074909376029,-215492,#N/A
"462-1",2021-06-14,"14/06/2021 22:00",521957,303278,8630,1403,-4.0940162155609539,-5.3737195452428299,#N/A,-405982,0.077674539738129766,-404933,#N/A,#N/A,9.0629997840774728,-214089,#N/A
"463-1",2021-06-15,"15/06/2021 22:00",531017,304667,9060,1389,-4.0623328416393232,-5.388351432990425,#N/A,-396922,0.070950555991374953,-395873,#N/A,#N/A,9.1116243990370247,-212700,#N/A
"464-1",2021-06-16,"16/06/2021 22:00",536227,305236,5210,569,-4.6290999235179546,-6.2840273023028308,#N/A,-391712,0.039194648077621082,-390663,#N/A,#N/A,8.5583351347474128,-212131,#N/A
"465-1",2021-06-17,"17/06/2021 22:00",546399,306881,10172,1645,-3.9743293948616514,-5.2260334685626981,#N/A,-381540,0.052729510629560467,-380491,#N/A,#N/A,9.227394126542011,-210486,#N/A
"466-1",2021-06-18,"18/06/2021 22:00",556892,308555,10493,1674,-3.9621671097317708,-5.2139653409044024,#N/A,-371047,0.05282603668305625,-369998,#N/A,#N/A,9.2584636471579103,-208812,#N/A
"467-1",2021-06-19,"19/06/2021 22:00",563238,309178,6346,623,-4.4802174561408705,-6.2061175658603149,#N/A,-364701,0.055133254086431716,-363652,#N/A,#N/A,8.7555799721431402,-208189,#N/A
"468-1",2021-06-20,"20/06/2021 22:00",567485,309513,4247,335,-4.8912477956741691,-6.8280834246700568,#N/A,-360454,0.048525411397703694,-359405,#N/A,#N/A,8.3539681303132713,-207854,#N/A
"469-1",2021-06-21,"21/06/2021 22:00",578945,311549,11460,2036,-3.912364843426269,-5.0272930543344181,#N/A,-348994,0.042302446093850421,-347945,#N/A,#N/A,9.3466179902687312,-205818,#N/A
"470-1",2021-06-22,"22/06/2021 22:00",590990,313547,12045,1998,-3.8828713203890741,-5.0526079716758883,#N/A,-336949,0.038677955970102082,-335900,#N/A,#N/A,9.3964049150489721,-203820,#N/A
"471-1",2021-06-23,"23/06/2021 22:00",602960,315174,11970,1627,-3.9094382115857953,-5.2638003560615321,#N/A,-324979,0.048066325347139748,-323930,#N/A,#N/A,9.3901587985520187,-202193,#N/A
"472-1",2021-06-24,"24/06/2021 22:00",614610,316915,11650,1741,-3.9561284693262033,-5.2014208368317476,#N/A,-313329,0.036761101417072936,-312280,#N/A,#N/A,9.3630614589938475,-200452,#N/A
"473-1",2021-06-25,"25/06/2021 22:00",625667,318686,11057,1771,-4.0268526356405783,-5.1898768807131477,#N/A,-302272,0.021331981498832506,-301223,#N/A,#N/A,9.3108189905424013,-198681,#N/A
"474-1",2021-06-26,"26/06/2021 22:00",633150,319436,7483,750,-4.4321349292776349,-6.0530639190640203,#N/A,-294789,0.01583373627868228,-293740,#N/A,#N/A,8.9203890600803586,-197931,#N/A
"475-1",2021-06-27,"27/06/2021 22:00",637894,319908,4744,472,-4.8975614032015677,-6.5180715818447421,#N/A,-290045,0.0030344191220443677,-288996,#N/A,#N/A,8.464635940677562,-197459,#N/A
"476-1",2021-06-28,"28/06/2021 22:00",650199,322362,12305,2454,-3.9577348242379675,-4.8741373829176213,#N/A,-277740,-0.00016192974567731536,-276691,#N/A,#N/A,9.417760962825156,-195005,#N/A
"477-1",2021-06-29,"29/06/2021 22:00",663233,324574,13034,2212,-3.9196575017568609,-4.9851992103215199,#N/A,-264706,-0.0032528265828021255,-263657,#N/A,#N/A,9.475316606892326,-192793,#N/A
"478-1",2021-06-30,"30/06/2021 22:00",678162,327089,14929,2515,-3.8049712950797532,-4.8641026081149601,#N/A,-249777,0.011665278807469377,-248728,#N/A,#N/A,9.6110609090535899,-190278,#N/A
"479-1",2021-07-01,"01/07/2021 22:00",694317,329972,16155,2883,-3.7489509072051557,-4.7357918438122502,#N/A,-233622,0.018644319147318927,-232573,#N/A,#N/A,9.6899848782585991,-187395,#N/A
"480-1",2021-07-02,"02/07/2021 22:00",705856,332637,11539,2665,-4.1054486572478686,-4.8228284423062915,#N/A,-222083,0.0040919804697157822,-221034,#N/A,#N/A,9.3534878811946669,-184730,#N/A
"481-1",2021-07-03,"03/07/2021 22:00",713980,333865,8124,1228,-4.4703159135838701,-5.6035079985309553,#N/A,-213959,-0.00016342058854216385,-212910,#N/A,#N/A,9.0025779227002758,-183502,#N/A
"482-1",2021-07-04,"04/07/2021 22:00",718497,334449,4517,584,-5.0661618409768785,-6.3494649840345359,#N/A,-209442,-0.020396938216252471,-208393,#N/A,#N/A,8.4156033356546036,-182918,#N/A
"483-1",2021-07-05,"05/07/2021 22:00",730477,337610,11980,3161,-4.1022024386653095,-4.6663031462577926,#N/A,-197462,-0.020935124134417598,-196413,#N/A,#N/A,9.3909938716694406,-179757,#N/A
"484-1",2021-07-06,"06/07/2021 22:00",743208,340546,12731,2936,-4.0583093234644281,-4.7491758107417503,#N/A,-184731,-0.023816538546132752,-183682,#N/A,#N/A,9.4517952430616461,-176821,#N/A
"485-1",2021-07-07,"07/07/2021 22:00",755937,343548,12729,3002,-4.0755961569261236,-4.7356630022387316,#N/A,-172002,-0.022148371946516716,-170953,#N/A,#N/A,9.4516381338704338,-173819,#N/A
"486-1",2021-07-08,"08/07/2021 22:00",767236,346177,11299,2629,-4.2106711882405099,-4.8765373981584395,#N/A,-160703,-0.031013645605449166,-159654,#N/A,#N/A,9.3324695052092466,-171190,#N/A
"487-1",2021-07-09,"09/07/2021 22:00",777140,348588,9904,2411,-4.3562756188815364,-4.9703808649253549,#N/A,-150799,-0.036657587607462121,-149750,#N/A,#N/A,9.2006939949243769,-168779,#N/A
"488-1",2021-07-10,"10/07/2021 22:00",783066,349799,5926,1211,-4.8800717042503701,-5.6641787429985735,#N/A,-144873,-0.045231688924390001,-143824,#N/A,#N/A,8.6871047281335105,-167568,#N/A
"489-1",2021-07-11,"11/07/2021 22:00",786065,350427,2999,628,-5.5668499439653045,-6.3234708039171892,#N/A,-141874,-0.066823747358409832,-140825,#N/A,#N/A,8.0060341787490099,-166940,#N/A
"490-1",2021-07-12,"12/07/2021 22:00",793973,353570,7908,3143,-4.6041737405878278,-4.7184425124097498,#N/A,-133966,-0.067009791753549708,-132917,#N/A,#N/A,8.9756301842905071,-163797,#N/A
"491-1",2021-07-13,"13/07/2021 22:00",802040,356705,8067,3135,-4.5943265608416413,-4.7298693704608077,#N/A,-125899,-0.072182933249911221,-124850,#N/A,#N/A,8.9955369449369744,-160662,#N/A
"492-1",2021-07-14,"14/07/2021 22:00",809291,359625,7251,2920,-4.7105225034899005,-4.8094046189247308,#N/A,-118648,-0.074133122599858992,-117599,#N/A,#N/A,8.8888946693715933,-157742,#N/A
"493-1",2021-07-15,"15/07/2021 22:00",815132,362249,5841,2624,-4.9348544493657167,-4.9239991523928195,#N/A,-112807,-0.085414423605935749,-111758,#N/A,#N/A,8.6726572940403095,-155118,#N/A
"494-1",2021-07-16,"16/07/2021 22:00",820370,364987,5238,2738,-5.0506147241179793,-4.888871414208384,#N/A,-107569,-0.090265089299811335,-106520,#N/A,#N/A,8.5636950250676573,-152380,#N/A
"495-1",2021-07-17,"17/07/2021 22:00",823135,366390,2765,1403,-5.6943976763845834,-5.5631678503735449,#N/A,-104804,-0.1018517169859746,-103755,#N/A,#N/A,7.9247959139564355,-150977,#N/A
"496-1",2021-07-18,"18/07/2021 22:00",824727,367103,1592,713,-6.2490953899999795,-6.2429444172927262,#N/A,-103212,-0.11125303770471942,-102163,#N/A,#N/A,7.3727463664043285,-150264,#N/A
"497-1",2021-07-19,"19/07/2021 22:00",830655,370761,5928,3658,-4.9389487336784308,-4.613687602715288,#N/A,-97284,-0.083897899305377832,-96235,#N/A,#N/A,8.6874421669759236,-146606,#N/A
"498-1",2021-07-20,"20/07/2021 22:00",836073,374364,5418,3603,-5.0357402555244128,-4.638630183339771,#N/A,-91866,-0.076460670346687701,-90817,#N/A,#N/A,8.5974820226450408,-143003,#N/A
"499-1",2021-07-21,"21/07/2021 22:00",840592,376962,4519,2598,-5.2231216479688216,-4.9739465609697024,#N/A,-87347,-0.068677186302890714,-86298,#N/A,#N/A,8.4160460094112803,-140405,#N/A
"500-1",2021-07-22,"22/07/2021 22:00",844270,379829,3678,2867,-5.4339210451275139,-4.882668974096954,#N/A,-83669,-0.072247787645663752,-82620,#N/A,#N/A,8.210124405164267,-137538,#N/A
"501-1",2021-07-23,"23/07/2021 22:00",847412,382612,3142,2783,-5.5954707089619662,-4.9198440241877126,#N/A,-80527,-0.076248513625824604,-79478,#N/A,#N/A,8.0526148188155666,-134755,#N/A
"502-1",2021-07-24,"24/07/2021 22:00",849200,383880,1788,1268,-6.1621433727959003,-5.7112353124047468,#N/A,-78739,-0.079203666358335131,-77690,#N/A,#N/A,7.4888529557334591,-133487,#N/A
"503-1",2021-07-25,"25/07/2021 22:00",850519,384581,1319,701,-6.4681969672381987,-6.3064897474900485,#N/A,-77420,-0.073120051569729089,-76371,#N/A,#N/A,7.1846291527173145,-132786,#N/A
"504-1",2021-07-26,"26/07/2021 22:00",856008,389427,5489,4846,-5.0463188713673777,-4.3802683399160358,#N/A,-71931,-0.038977264153723219,-70882,#N/A,#N/A,8.6105013685498886,-127940,#N/A
"505-1",2021-07-27,"27/07/2021 22:00",859859,393520,3851,4093,-5.4061920567900215,-4.5606305175814548,#N/A,-68080,-0.040943926427151875,-67031,#N/A,#N/A,8.2560881338149095,-123847,#N/A
"506-1",2021-07-28,"28/07/2021 22:00",863173,397459,3314,3939,-5.5605364759505553,-4.6091890876215915,#N/A,-64766,-0.035545141345496981,-63717,#N/A,#N/A,8.1059111979865079,-119908,#N/A
"507-1",2021-07-29,"29/07/2021 22:00",866248,400974,3075,3515,-5.6390888137494652,-4.7324578906352119,#N/A,-61691,-0.035786941315443507,-60642,#N/A,#N/A,8.031060180240619,-116393,#N/A
"508-1",2021-07-30,"30/07/2021 22:00",868921,404394,2673,3420,-5.7825106852299291,-4.7685055731987456,#N/A,-59018,-0.036339273829583123,-57969,#N/A,#N/A,7.8909567161389189,-112973,#N/A
"509-1",2021-07-31,"31/07/2021 22:00",870377,406074,1456,1680,-6.3923964986011752,-5.4856694523448306,#N/A,-57562,-0.039905541994624816,-56513,#N/A,#N/A,7.2834482287566313,-111293,#N/A
"510-1",2021-08-01,"01/08/2021 22:00",871170,406768,793,694,-7.0013138853464669,-6.372672643644818,#N/A,-56769,-0.061301626592087696,-55720,#N/A,#N/A,6.6758232216348476,-110599,#N/A
"511-1",2021-08-02,"02/08/2021 22:00",874401,410850,3231,4082,-5.5988969923072851,-4.6066526813017568,#N/A,-53538,-0.052060952982988344,-52489,#N/A,#N/A,8.0805469658244977,-106517,#N/A
"512-1",2021-08-03,"03/08/2021 22:00",877351,415510,2950,4660,-5.6934184127353653,-4.4848572849300261,#N/A,-50588,-0.050117439083063264,-49539,#N/A,#N/A,7.9895604493338652,-101857,#N/A
"513-1",2021-08-04,"04/08/2021 22:00",879945,420037,2594,4527,-5.8251825502029453,-4.5248701661197019,#N/A,-47994,-0.0398699953416718,-46945,#N/A,#N/A,7.8609563648763894,-97330,#N/A
"514-1",2021-08-05,"05/08/2021 22:00",882282,424214,2337,4177,-5.932317806718828,-4.6157012180683612,#N/A,-45657,-0.037976396229262827,-44608,#N/A,#N/A,7.7566233345388582,-93153,#N/A
"515-1",2021-08-06,"06/08/2021 22:00",884268,427903,1986,3689,-6.097513603478685,-4.7492149947442952,#N/A,-43671,-0.03960701611885574,-42622,#N/A,#N/A,7.5938778446051183,-89464,#N/A
"516-1",2021-08-07,"07/08/2021 22:00",885315,429601,1047,1698,-6.7394229754539037,-5.531426268282531,#N/A,-42624,-0.043777688877813886,-41575,#N/A,#N/A,6.953684210870537,-87766,#N/A
"517-1",2021-08-08,"08/08/2021 22:00",886004,430442,689,841,-7.1588465227610447,-6.236998507710557,#N/A,-41935,-0.050369434663203413,-40886,#N/A,#N/A,6.5352412710136587,-86925,#N/A
"518-1",2021-08-09,"09/08/2021 22:00",886800,431416,796,974,-7.01532659824323,-6.0922868929734264,#N/A,-41139,-0.10673173819192014,-40090,#N/A,#N/A,6.6795991858443831,-85951,#N/A
"519-1",2021-08-10,"10/08/2021 22:00",889301,435938,2501,4522,-5.8723372978952657,-4.5633365830286801,#N/A,-38638,-0.072758749704665088,-37589,#N/A,#N/A,7.8244459308776193,-81429,#N/A
"520-1",2021-08-11,"11/08/2021 22:00",891633,440450,2332,4512,-5.9450192041901646,-4.5759123850359646,#N/A,-36306,-0.051302630171500635,-35257,#N/A,#N/A,7.754481547470383,-76917,#N/A
"521-1",2021-08-12,"12/08/2021 22:00",893625,444285,1992,3835,-6.1050314668542836,-4.7479652867003477,#N/A,-34314,-0.032301170920270468,-33265,#N/A,#N/A,7.5968944381445436,-73082,#N/A
"522-1",2021-08-13,"13/08/2021 22:00",895549,447776,1924,3491,-6.1419554215514314,-4.8501940022506576,#N/A,-32390,-0.014890415874183119,-31341,#N/A,#N/A,7.5621616312256519,-69591,#N/A
"523-1",2021-08-14,"14/08/2021 22:00",896451,449907,902,2131,-6.9010810874412112,-5.3500765871682567,#N/A,-31488,-0.022236709036467291,-30439,#N/A,#N/A,6.804614520062624,-67460,#N/A
"524-1",2021-08-15,"15/08/2021 22:00",896957,450648,506,741,-7.479944401908261,-6.4096184873751705,#N/A,-30982,-0.029800460463361881,-29933,#N/A,#N/A,6.2265366692874657,-66719,#N/A
"525-1",2021-08-16,"16/08/2021 22:00",898736,454549,1779,3901,-6.2239473824309295,-4.7537662976681707,#N/A,-29203,-0.006536482269301612,-28154,#N/A,#N/A,7.4838066876658349,-62818,#N/A
"526-1",2021-08-17,"17/08/2021 22:00",900463,458875,1727,4326,-6.2555635579991966,-4.6594021910486552,#N/A,-27476,-0.017210134045251922,-26427,#N/A,#N/A,7.4541410781466784,-58492,#N/A
"527-1",2021-08-18,"18/08/2021 22:00",902107,462834,1644,3959,-6.3066889488958147,-4.7570847569686077,#N/A,-25832,-0.020506175227852294,-24783,#N/A,#N/A,7.404887575616125,-54533,#N/A
"528-1",2021-08-19,"19/08/2021 22:00",903518,466287,1411,3453,-6.4612160142369826,-4.901843774999632,#N/A,-24421,-0.027894731648199497,-23372,#N/A,#N/A,7.2520539518528144,-51080,#N/A
"529-1",2021-08-20,"20/08/2021 22:00",904727,469307,1209,3020,-6.6171711394181392,-5.0427741366260896,#N/A,-23212,-0.036574841010711331,-22163,#N/A,#N/A,7.0975488506147926,-48060,#N/A
"530-1",2021-08-21,"21/08/2021 22:00",905456,470732,729,1425,-7.1241175364726628,-5.7986016035049071,#N/A,-22483,-0.037585512623563036,-21434,#N/A,#N/A,6.5916737320086582,-46635,#N/A
"531-1",2021-08-22,"22/08/2021 22:00",905862,471277,406,545,-7.7100649581384122,-6.7618370208562357,#N/A,-22077,-0.046188232663805145,-21028,#N/A,#N/A,6.0063531596017325,-46090,#N/A
"532-1",2021-08-23,"23/08/2021 22:00",907243,474690,1381,3413,-6.4868408757646954,-4.931464495116666,#N/A,-20696,-0.029260616472213469,-19647,#N/A,#N/A,7.2305631534092925,-42677,#N/A
"533-1",2021-08-24,"24/08/2021 22:00",908559,478040,1316,3350,-6.5365383338297391,-4.9572199000016015,#N/A,-19380,-0.036054075945241307,-18331,#N/A,#N/A,7.1823521118852627,-39327,#N/A
"534-1",2021-08-25,"25/08/2021 22:00",909655,480963,1096,2923,-6.7207954893775979,-5.1001334397547602,#N/A,-18284,-0.041543408732151878,-17235,#N/A,#N/A,6.9994224675079613,-36404,#N/A
"535-1",2021-08-26,"26/08/2021 22:00",910566,483405,911,2442,-6.9067783189348333,-5.2855062708560263,#N/A,-17373,-0.051388863066309312,-16324,#N/A,#N/A,6.8145428972599582,-33962,#N/A
"536-1",2021-08-27,"27/08/2021 22:00",911403,485708,837,2303,-6.9924570209920649,-5.3490195363302595,#N/A,-16536,-0.056766267916276966,-15487,#N/A,#N/A,6.7298240704894754,-31659,#N/A
"537-1",2021-08-28,"28/08/2021 22:00",911819,486570,416,862,-7.6922833653614164,-6.3349943375497348,#N/A,-16120,-0.067133674747621191,-15071,#N/A,#N/A,6.0306852602612633,-30797,#N/A
"538-1",2021-08-29,"29/08/2021 22:00",912093,487033,274,463,-8.110218908366992,-6.9578845919702408,#N/A,-15846,-0.071961282877710336,-14797,#N/A,#N/A,5.6131281063880705,-30334,#N/A
"539-1",2021-08-30,"30/08/2021 22:00",912993,489109,900,2076,-6.9215956422328597,-5.4600164140926752,#N/A,-14946,-0.058366204625059315,-13897,#N/A,#N/A,6.8023947633243109,-28258,#N/A
"540-1",2021-08-31,"31/08/2021 22:00",913872,491130,879,2021,-6.9461797855903411,-5.4910553835713367,#N/A,-14067,-0.058215692893547215,-13018,#N/A,#N/A,6.7787848976851768,-26237,#N/A
"541-1",2021-09-01,"01/09/2021 22:00",914520,493185,648,2055,-7.2519095312403499,-5.4785214863697966,#N/A,-13419,-0.061931721967380171,-12370,#N/A,#N/A,6.4738906963522744,-24182,#N/A
"542-1",2021-09-02,"02/09/2021 22:00",915132,494922,612,1737,-7.3097568424324981,-5.6504832935799936,#N/A,-12807,-0.06235586197538634,-11758,#N/A,#N/A,6.4167322825123261,-22445,#N/A
"543-1",2021-09-03,"03/09/2021 22:00",915705,496665,573,1743,-7.3762508673769291,-5.6505507129107801,#N/A,-12234,-0.060953463394885957,-11185,#N/A,#N/A,6.3508857167147399,-20702,#N/A
"544-1",2021-09-04,"04/09/2021 22:00",915988,497300,283,635,-8.0821571475949696,-6.6626849582536298,#N/A,-11951,-0.064274834709107831,-10902,#N/A,#N/A,5.6454468976432377,-20067,#N/A
"545-1",2021-09-05,"05/09/2021 22:00",916224,497613,236,313,-8.2640555469241495,-7.3710601710399244,#N/A,-11715,-0.054270891398847464,-10666,#N/A,#N/A,5.4638318050256105,-19754,#N/A
"546-1",2021-09-06,"06/09/2021 22:00",916903,499218,679,1605,-7.2077654558945836,-5.7383094457821509,#N/A,-11036,-0.042699206427656407,-9987,#N/A,#N/A,6.5206211275586963,-18149,#N/A
"547-1",2021-09-07,"07/09/2021 22:00",917488,500844,585,1626,-7.3574640425856845,-5.7285462041908959,#N/A,-10451,-0.046098532339557373,-9402,#N/A,#N/A,6.3716118472318568,-16523,#N/A
"548-1",2021-09-08,"08/09/2021 22:00",917975,502092,487,1248,-7.5413959966136677,-5.9959970107113003,#N/A,-9964,-0.043854065152035542,-8915,#N/A,#N/A,6.1882641230825897,-15275,#N/A
"549-1",2021-09-09,"09/09/2021 22:00",918487,503262,512,1170,-7.4918796209858884,-6.0629436164552066,#N/A,-9452,-0.038465791226075151,-8403,#N/A,#N/A,6.2383246250395077,-14105,#N/A
"550-1",2021-09-10,"10/09/2021 22:00",918924,504315,437,1053,-7.6507876790096221,-6.1705129399217968,#N/A,-9015,-0.038344741370677525,-7966,#N/A,#N/A,6.0799331950955899,-13052,#N/A
"551-1",2021-09-11,"11/09/2021 22:00",919131,504701,207,386,-8.3983525272302657,-7.1755015576895431,#N/A,-8808,-0.045543562679194072,-7759,#N/A,#N/A,5.3327187932653688,-12666,#N/A
"552-1",2021-09-12,"12/09/2021 22:00",919276,504889,145,188,-8.7545290686768116,-7.8954657108580193,#N/A,-8663,-0.056230314646802053,-7614,#N/A,#N/A,4.9767337424205742,-12478,#N/A
"553-1",2021-09-13,"13/09/2021 22:00",919743,506036,467,1147,-7.5852663755082474,-6.0883235844759103,#N/A,-8196,-0.04969182024534078,-7147,#N/A,#N/A,6.1463292576688975,-11331,#N/A
"554-1",2021-09-14,"14/09/2021 22:00",920174,507062,431,1026,-7.6659757309179417,-6.2019529727324754,#N/A,-7765,-0.048929130832140517,-6716,#N/A,#N/A,6.0661080901037474,-10305,#N/A
"555-1",2021-09-15,"15/09/2021 22:00",920545,507883,371,821,-7.8163175574194561,-6.4266744736737467,#N/A,-7394,-0.042496016678125186,-6345,#N/A,#N/A,5.916202062607435,-9484,#N/A
"556-1",2021-09-16,"16/09/2021 22:00",920905,508508,360,625,-7.8468126379719942,-6.7008697192677982,#N/A,-7034,-0.041698098939766337,-5985,#N/A,#N/A,5.8861040314501558,-8859,#N/A
"557-1",2021-09-17,"17/09/2021 22:00",921185,509017,280,509,-8.098474563104201,-6.9072884855003513,#N/A,-6754,-0.048570110980266312,-5705,#N/A,#N/A,5.6347896031692493,-8350,#N/A
"558-1",2021-09-18,"18/09/2021 22:00",921369,509225,184,208,-8.5185802691302985,-7.8029028946922425,#N/A,-6570,-0.039371512641359532,-5521,#N/A,#N/A,5.2149357576089859,-8142,#N/A
"559-1",2021-09-19,"19/09/2021 22:00",921472,509379,103,154,-9.0989427907259071,-8.1038438297897422,#N/A,-6467,-0.0534596951874148,-5418,#N/A,#N/A,4.6347289882296359,-7988,#N/A
"560-1",2021-09-20,"20/09/2021 22:00",921821,510003,349,624,-7.8788450892269948,-6.7054094454538271,#N/A,-6118,-0.043639310255585789,-5069,#N/A,#N/A,5.855071922202427,-7364,#N/A
"561-1",2021-09-21,"21/09/2021 22:00",922145,510536,324,533,-7.953538538105744,-6.8641727814132727,#N/A,-5794,-0.043441219577752807,-4745,#N/A,#N/A,5.780743515792329,-6831,#N/A
"562-1",2021-09-22,"22/09/2021 22:00",922419,511036,274,500,-8.1214781988670914,-6.9290978165049548,#N/A,-5520,-0.039448070589132182,-4471,#N/A,#N/A,5.6131281063880705,-6331,#N/A
"563-1",2021-09-23,"23/09/2021 22:00",922652,511416,233,380,-8.2838426776613865,-7.2043957427090461,#N/A,-5287,-0.045430187959290574,-4238,#N/A,#N/A,5.4510384535657002,-5951,#N/A
"564-1",2021-09-24,"24/09/2021 22:00",922768,511572,116,156,-8.9814800788406632,-8.0952351190939513,#N/A,-5171,-0.081965309652892032,-4122,#N/A,#N/A,4.7535901911063645,-5795,#N/A
"565-1",2021-09-25,"25/09/2021 22:00",922865,511680,97,108,-9.1604747060574869,-8.4632179375169549,#N/A,-5074,-0.081348485030215398,-4025,#N/A,#N/A,4.5747109785033828,-5687,#N/A
"566-1",2021-09-26,"26/09/2021 22:00",922953,511768,88,88,-9.2579491018435718,-8.6682038792361098,#N/A,-4986,-0.072205457926318578,-3937,#N/A,#N/A,4.4773368144782069,-5599,#N/A
"567-1",2021-09-27,"27/09/2021 22:00",923232,512183,279,415,-8.104272935712471,-7.1177534763277661,#N/A,-4707,-0.048689783466029049,-3658,#N/A,#N/A,5.6312117818213654,-5184,#N/A
"568-1",2021-09-28,"28/09/2021 22:00",923477,512580,245,397,-8.2345102970086348,-7.1628884130326025,#N/A,-4462,-0.039874489850758935,-3413,#N/A,#N/A,5.5012582105447274,-4787,#N/A
"569-1",2021-09-29,"29/09/2021 22:00",923673,512945,196,365,-8.4578926251197242,-7.2476706581807253,#N/A,-4266,-0.036940899971430373,-3217,#N/A,#N/A,5.2781146592305168,-4422,#N/A
"570-1",2021-09-30,"30/09/2021 22:00",923870,513283,197,338,-8.4530162931420598,-7.3252073900459624,#N/A,-4069,-0.028480434110251696,-3020,#N/A,#N/A,5.2832037287379885,-4084,#N/A
"571-1",2021-10-01,"01/10/2021 22:00",924032,513518,162,235,-8.6488179811193735,-7.6892259897131376,#N/A,-3907,-0.017133707756900436,-2858,#N/A,#N/A,5.0875963352323836,-3849,#N/A
"572-1",2021-10-02,"02/10/2021 22:00",924107,513628,75,110,-9.4190544501520463,-8.4486670902660457,#N/A,-3832,-0.029536632572293851,-2783,#N/A,#N/A,4.3174881135363101,-3739,#N/A
"573-1",2021-10-03,"03/10/2021 22:00",924184,513713,77,85,-9.3928193833408642,-8.7066860295281128,#N/A,-3755,-0.027753454153283841,-2706,#N/A,#N/A,4.3438054218536841,-3654,#N/A
"574-1",2021-10-04,"04/10/2021 22:00",924353,513989,169,276,-8.6068591751157388,-7.5292877293860654,#N/A,-3586,-0.038369166911256289,-2537,#N/A,#N/A,5.1298987149230735,-3378,#N/A
